densenet201	10	16	37092.59706	181	204.9314755
resnet50	10	8	36745.53125	500	73.4910625
vgg19	10	4	37220.30325	340	109.4714802
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	54634.51537	265	206.1679825
resnet50	10	16	54436.81686	463	117.5741185
vgg19	10	4	54854.01636	500	109.7080327
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	9576.7285	47	203.7601809
resnet50	10	1	9333.228191	500	18.66645638
vgg19	10	8	9654.134827	53	182.1534873
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	21906.58223	107	204.7344134
resnet50	10	4	21731.28108	500	43.46256216
vgg19	10	8	22066.63542	121	182.3688878
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	37110.33713	181	205.0294869
resnet50	10	8	36718.17863	500	73.43635725
vgg19	10	8	37190.40179	204	182.3058911
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	58973.20355	286	206.2000124
resnet50	10	16	58756.55685	500	117.5131137
vgg19	10	8	59429.06747	325	182.8586692
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	9626.465622	47	204.8184175
resnet50	10	1	9377.440996	500	18.75488199
vgg19	10	16	9629.441177	44	218.8509358
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	21974.94186	107	205.3732884
resnet50	10	4	21792.51026	500	43.58502052
vgg19	10	16	22082.79234	101	218.6415083
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	37219.15579	181	205.630695
resnet50	10	8	36816.83304	500	73.63366608
vgg19	10	16	37417.5278	171	218.8159521
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	59270.62747	286	207.2399562
resnet50	10	16	58998.38121	500	117.9967624
vgg19	10	16	59593.24863	271	219.9012864
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	4196.076324	99	42.38460934
resnet50	25	1	4124.749959	500	8.249499918
vgg19	10	1	4288.87347	142	30.2033343
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	8991.224556	202	44.51101265
resnet50	25	4	8968.698305	500	17.93739661
vgg19	10	1	9148.412197	299	30.59669631
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	15060.27105	336	44.82223528
resnet50	25	8	15112.52015	500	30.22504029
vgg19	10	1	15316.59093	498	30.75620668
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	15516.68328	333	46.59664648
resnet50	25	16	15599.15934	316	49.36442828
vgg19	10	1	15754.98973	500	31.50997947
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	4195.381462	100	41.95381462
resnet50	25	1	4130.224119	500	8.260448237
vgg19	10	4	4355.304359	39	111.6744708
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	8912.305798	202	44.12032573
resnet50	25	4	8911.600626	500	17.82320125
vgg19	10	4	9150.791565	81	112.9727354
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	14982.0045	336	44.5892991
resnet50	25	8	15045.9215	500	30.09184299
vgg19	10	4	15353.38331	135	113.7287652
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	23085.14669	500	46.17029337
resnet50	25	16	23277.08685	474	49.10777817
vgg19	10	4	23562.92832	203	116.0735385
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	4178.025509	100	41.78025509
resnet50	25	1	4130.61913	500	8.26123826
vgg19	10	8	4413.318069	24	183.8882529
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	8887.751991	203	43.78202951
resnet50	25	4	8871.913448	500	17.7438269
vgg19	10	8	9082.465866	49	185.3564462
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	14971.8158	337	44.42675313
resnet50	25	8	15017.83168	500	30.03566336
vgg19	10	8	15318.74834	82	186.8140041
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	22994.13763	500	45.98827526
resnet50	25	16	23204.39875	473	49.05792548
vgg19	10	8	23597.92499	124	190.3058467
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	4150.391621	99	41.92314768
resnet50	25	1	4079.589035	500	8.15917807
vgg19	10	16	4389.789948	20	219.4894974
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	8962.748112	203	44.15146853
resnet50	25	4	8936.394695	500	17.87278939
vgg19	10	16	9118.867905	41	222.4114123
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	15020.79157	337	44.57208181
resnet50	25	8	15080.19558	500	30.16039116
vgg19	10	16	15411.45691	69	223.354448
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	23142.37212	500	46.28474424
resnet50	25	16	23313.85411	473	49.28933216
vgg19	10	16	23691.78281	104	227.8056039
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	4294.163528	52	82.58006785
resnet50	25	1	4167.312636	500	8.334625273
vgg19	10	1	4306.493559	141	30.54250751
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	9182.627068	108	85.0243247
resnet50	25	4	9077.348312	500	18.15469662
vgg19	10	1	9265.378757	302	30.68006211
