model1 name,gpu1,batch1,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model2 name,gpu2,batch2,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model3 name,gpu3,batch3,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency
densenet201,10,4,21615.408782958984,268,80.65451038417531,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,resnet50,10,4,21524.800148010254,500,43.04960029602051,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,8,21980.0929107666,121,181.6536604195587,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921,
densenet201,10,4,36488.904205322266,451,80.90666120914028,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,resnet50,10,8,36519.12735748291,500,73.03825471496582,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,8,37072.16688537598,204,181.72630826164695,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921,
densenet201,10,4,40773.492195129395,500,81.54698439025879,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,resnet50,10,16,40895.16255187988,350,116.84332157679967,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,vgg19,10,8,41359.28598022461,227,182.19949771024056,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921,
densenet201,10,4,9368.045791625977,116,80.75901544505152,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,resnet50,10,1,9281.778591156006,500,18.56355718231201,23604380,7624504,11046963,2575651,21644293,11036224,11.58325181,,vgg19,10,16,9602.147659301758,44,218.23062862049449,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953,
densenet201,10,4,21623.701164245605,267,80.98764480990863,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,resnet50,10,4,21599.45878982544,500,43.19891757965088,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,16,21979.973022460938,101,217.62349527189048,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953,
densenet201,10,4,36568.70302581787,450,81.2637845018175,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,resnet50,10,8,36589.06620025635,500,73.1781324005127,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,16,37027.052185058594,170,217.8061893238741,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953,
densenet201,10,4,40986.100677490234,500,81.97220135498047,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,resnet50,10,16,41011.34329986572,350,117.17526657104492,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,vgg19,10,16,41544.09568786621,190,218.65313519929586,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953,
densenet201,10,8,9594.821258544922,73,131.4359076513003,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,resnet50,10,1,9364.191827774048,500,18.728383655548097,23604380,7624504,11046963,2575651,21644293,11036224,11.58325181,,vgg19,10,1,9564.633110046387,323,29.611867213765905,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,8,14773.418075561523,112,131.90551853179932,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,resnet50,10,4,14606.942417144775,336,43.47304290816898,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,1,14789.957830429077,500,29.579915660858155,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,8,14819.702606201172,112,132.31877326965332,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,resnet50,10,8,14572.435363769531,198,73.59815840287642,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,1,14788.889808654785,500,29.57777961730957,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,8,14771.935424804688,111,133.08049932256475,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,resnet50,10,16,14576.334167480469,124,117.55108199581024,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,vgg19,10,1,14850.014429092407,500,29.700028858184815,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,8,9550.012496948242,73,130.822088999291,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,resnet50,10,1,9322.126001358032,500,18.644252002716065,23604380,7624504,11046963,2575651,21644293,11036224,11.58325181,,vgg19,10,4,9534.627212524414,87,109.59341623591281,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,
densenet201,10,8,21715.727737426758,166,130.81763697245034,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,resnet50,10,4,21568.437175750732,500,43.13687435150146,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,4,21913.739807128906,201,109.02358112999455,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,
