,data,x
170,-944.9103322,56
171,-1067.683571,57
172,-1167.898856,57
173,-944.9103322,57
174,-1067.683571,58
175,-1167.898856,58
176,-944.9103322,58
177,-1067.683571,59
178,-1167.898856,59
179,-944.9103322,59
180,-1067.683571,60
181,-1167.898856,60
182,-944.9103322,60
183,-1067.683571,61
184,-1167.898856,61
185,-944.9103322,61
186,-1067.683571,62
187,-1167.898856,62
188,-944.9103322,62
189,-1067.683571,63
190,-1167.898856,63
191,-944.9103322,63
192,-1067.683571,64
193,-1167.898856,64
194,-944.9103322,64
195,-1067.683571,65
196,-1167.898856,65
197,-944.9103322,65
198,-1067.683571,66
199,-1167.898856,66
200,-944.9103322,66
201,-1067.683571,67
202,-1167.898856,67
203,-944.9103322,67
204,-1067.683571,68
205,-1167.898856,68
206,-944.9103322,68
207,-1067.683571,69
208,-1167.898856,69
209,-944.9103322,69
210,-1067.683571,70
211,-1167.898856,70
212,-944.9103322,70
213,-1067.683571,71
214,-1167.898856,71
215,-944.9103322,71
216,-1067.683571,72
217,-1167.898856,72
218,-944.9103322,72
219,-1067.683571,73
220,-1167.898856,73
221,-944.9103322,73
222,-1067.683571,74
223,-1167.898856,74
224,-944.9103322,74
225,-1067.683571,75
226,-1167.898856,75
227,-944.9103322,75
228,-1067.683571,76
229,-1167.898856,76
230,-944.9103322,76
231,-1067.683571,77
232,-1167.898856,77
233,-944.9103322,77
234,-1067.683571,78
235,-1167.898856,78
236,-944.9103322,78
237,-1067.683571,79
238,-1167.898856,79
239,-944.9103322,79
240,-1067.683571,80
241,-1167.898856,80
242,-944.9103322,80
243,-1067.683571,81
244,-1167.898856,81
245,-944.9103322,81
246,-1067.683571,82
247,-1167.898856,82
248,-944.9103322,82
249,-1067.683571,83
250,-1167.898856,83
251,-944.9103322,83
252,-1067.683571,84
253,-1167.898856,84
254,-944.9103322,84
255,-1067.683571,85
256,-1167.898856,85
257,-944.9103322,85
258,-1067.683571,86
259,-1167.898856,86
260,-944.9103322,86
261,-1067.683571,87
262,-1167.898856,87
263,-944.9103322,87
264,-1067.683571,88
265,-1167.898856,88
266,-944.9103322,88
267,-1067.683571,89
268,-1167.898856,89
269,-944.9103322,89
270,-1067.683571,90
271,-1167.898856,90
272,-944.9103322,90
273,-1067.683571,91
274,-1167.898856,91
275,-944.9103322,91
276,-1067.683571,92
277,-1167.898856,92
278,-944.9103322,92
279,-1067.683571,93
280,-1167.898856,93
281,-944.9103322,93
282,-1067.683571,94
283,-1167.898856,94
284,-944.9103322,94
285,-1067.683571,95
286,-1167.898856,95
287,-944.9103322,95
288,-1067.683571,96
289,-1167.898856,96
290,-944.9103322,96
291,-1067.683571,97
292,-1167.898856,97
293,-944.9103322,97
294,-1067.683571,98
295,-1167.898856,98
296,-944.9103322,98
297,-1067.683571,99
298,-1167.898856,99
299,-944.9103322,99
300,-1067.683571,100
301,-1167.898856,100
302,-944.9103322,100
303,-1067.683571,101
304,-1167.898856,101
305,-944.9103322,101
306,-1067.683571,102
307,-1167.898856,102
308,-944.9103322,102
309,-1067.683571,103
310,-1167.898856,103
311,-944.9103322,103
312,-1067.683571,104
313,-1167.898856,104
314,-944.9103322,104
315,-1067.683571,105
316,-1167.898856,105
317,-944.9103322,105
318,-1067.683571,106
319,-1167.898856,106
320,-944.9103322,106
321,-1067.683571,107
322,-1167.898856,107
323,-944.9103322,107
324,-1067.683571,108
325,-1167.898856,108
326,-944.9103322,108
327,-1067.683571,109
328,-1167.898856,109
329,-944.9103322,109
330,-1067.683571,110
331,-1167.898856,110
332,-944.9103322,110
333,-1067.683571,111
334,-1167.898856,111
335,-944.9103322,111
336,-1067.683571,112
337,-1167.898856,112
338,-944.9103322,112
339,-1067.683571,113
340,-1167.898856,113
341,-944.9103322,113
342,-1067.683571,114
343,-1167.898856,114
344,-944.9103322,114
345,-1067.683571,115
346,-1167.898856,115
347,-944.9103322,115
348,-1067.683571,116
349,-1167.898856,116
350,-944.9103322,116
351,-1067.683571,117
352,-1167.898856,117
353,-944.9103322,117
354,-1067.683571,118
355,-1167.898856,118
356,-944.9103322,118
357,-1067.683571,119
358,-1167.898856,119
359,-944.9103322,119
360,-1067.683571,120
361,-1167.898856,120
362,-944.9103322,120
363,-1067.683571,121
364,-1167.898856,121
365,-944.9103322,121
366,-1067.683571,122
367,-1167.898856,122
368,-944.9103322,122
