Model,Batch,GPU Resource,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,Latency
mobilenet,4,90,18007753,12229000,12398177,4550925,18753186,12384675,4.520298572
mobilenet,8,10,32845510,21765732,23068708,12345695,32887456,23103698,17.99046114
mobilenet,8,100,35390058,23915304,25012027,11990796,35654778,25022959,4.404921589
mobilenet,8,20,32943049,21756069,23620079,12216131,32321729,23689419,9.691773062
mobilenet,8,30,32981371,21752934,24411259,12172749,31502971,24412628,6.219951034
mobilenet,8,40,32529400,21748237,24974258,12622845,30647858,24909541,5.55049408
mobilenet,8,50,33002698,21745115,25184069,12086867,30867037,25180487,6.337437077
mobilenet,8,60,32980348,21733638,25272808,11919911,30740405,25277046,4.643781109
mobilenet,8,70,32899996,21737591,25213730,12455625,30725181,25215752,4.927094412
mobilenet,8,80,33078556,21739856,25122985,12471077,31080505,25126342,4.57855392
mobilenet,8,90,35382046,23914906,24855290,12638414,35746906,24856375,4.815337591
resnet50,12,10,174116295,75940868,107373452,63331918,150380190,107510985,92.43121811
resnet50,12,100,189637206,71388222,107112744,56721303,160305714,107136324,15.23402431
resnet50,12,20,174013747,75904542,107945855,61642902,148883914,107604424,49.38718391
resnet50,12,30,173938496,75883862,108217161,61488262,147551560,108251539,30.94867094
resnet50,12,40,165771060,75873412,107469177,61663679,140149210,107284044,25.54917986
resnet50,12,50,165458658,75850410,106371921,60925427,140493683,106498269,22.61530561
resnet50,12,60,165244890,75834748,105163771,61067688,141224651,105060943,18.20116619
resnet50,12,70,170141537,75828894,105160074,60834892,145988884,105225458,17.70463392
resnet50,12,80,170031283,75822268,105293109,60716739,145779782,105443443,16.817976
resnet50,12,90,189877260,71381992,106636268,56697041,160847965,106744161,15.44144799
resnet50,16,10,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
resnet50,16,100,232854876,88293943,138784640,72096431,189974479,138770382,17.70695751
resnet50,16,20,243932345,94396398,156094303,79468666,191635858,156394846,57.42509502
resnet50,16,30,244029662,94380003,153596960,78289889,193879918,153487503,37.0823188
resnet50,16,40,233261030,94363475,152404321,78609819,183959173,152885818,29.53745594
resnet50,16,50,233059238,94331313,149695382,77602051,185841895,149620531,24.43218494
resnet50,16,60,232842023,94325761,148162043,78253286,186854039,148102560,21.86477242
resnet50,16,70,237577052,94312714,147295377,78268468,192512652,147067684,21.33660645
resnet50,16,80,237443654,94293747,146059967,76980978,193454800,145903253,19.84012636
resnet50,16,90,233110873,88312890,140112064,72027884,189101907,139972782,18.584321
resnet50,4,10,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
resnet50,4,100,75622780,22711996,31088506,11624219,69372462,31063990,5.539330878
resnet50,4,20,72537183,21523574,31324130,12830951,65266307,31341965,18.54637262
resnet50,4,30,72490929,21517361,30396839,11125874,65986431,30407595,12.5948701
resnet50,4,40,72453475,21518381,29968487,11592402,66518274,29933423,10.54247069
resnet50,4,50,72401170,21513310,29746597,11292881,66603441,29763435,7.710668159
resnet50,4,60,72330663,21503900,29718155,10875420,66443222,29745909,7.22552259
resnet50,4,70,72242957,21509312,29725659,11457991,66265419,29852818,7.160055056
resnet50,4,80,72104517,21506430,29837093,11257672,66143728,29781584,6.734853768
resnet50,4,90,75672126,22712658,31535952,11835776,68965373,31533357,6.08273313
resnet50,8,10,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
resnet50,8,100,135417384,40919849,60545758,28860976,119316090,60427436,10.02513796
resnet50,8,20,130973464,46792467,67603139,34264924,115268922,68159619,35.36693748
resnet50,8,30,130824761,46771034,66885492,33704441,115396604,67066226,23.57929411
resnet50,8,40,122126980,46772694,66812235,33646930,106610455,66762091,18.12126364
resnet50,8,50,122067245,46760300,66488019,33552815,106782986,66431448,14.50615452
resnet50,8,60,121958948,46741857,65765841,32792317,107218957,65802513,13.31749696
resnet50,8,70,125777233,46740065,65981474,33583871,110799590,66099626,12.95643651
resnet50,8,80,125575356,46734278,65200877,32754015,111471541,65095562,12.10230109
resnet50,8,90,135454576,40927929,61289361,28095059,118604506,61423644,11.32322147
vgg19,12,10,552991707,155285949,179165213,148024752,542269003,179124564,259.7356906
vgg19,12,100,507163836,129990006,170746961,122069766,483005745,170604726,29.11006491
vgg19,12,20,553201398,155296900,178985249,148245786,542498653,178936604,131.5762314
vgg19,12,30,555475156,155310200,179144781,147902885,545837715,179037141,81.46233139
vgg19,12,40,413296914,155358005,187718840,147437963,394496786,187389994,48.83192226
vgg19,12,50,413030121,155344234,188951427,147455186,392636654,188909178,40.54984631
vgg19,12,60,415306046,155339499,190811719,146942584,394586243,190838335,37.21143585
vgg19,12,70,478916418,155345643,191555594,147689001,456162895,191718081,35.42301983
vgg19,12,80,481389787,155351402,193490329,147154665,458363039,193983523,32.92037882
vgg19,12,90,509448043,130002501,167952953,122814372,489112617,168093123,30.87116644
vgg19,16,10,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
vgg19,16,100,526861288,180232947,224797877,172325036,499209298,224984456,33.86352081
vgg19,16,20,571625673,209086006,222347931,201416329,570348625,222127391,135.1104674
vgg19,16,30,574179054,209104044,222252468,200926092,573889080,222439575,84.59205482
vgg19,16,40,428210739,209168274,230607150,201078848,418855502,230595730,52.07254169
vgg19,16,50,427974279,209149609,232047059,200633699,416987149,232093020,43.98544643
vgg19,16,60,430360656,209143569,234323096,200397824,419196366,233945705,40.76240505
vgg19,16,70,497204972,209151630,234730011,200446725,483902000,234624722,39.43807232
vgg19,16,80,499837371,209158903,236680554,200537922,486350375,236720399,37.43709049
vgg19,16,90,528801580,180249413,222491352,171593166,504960920,222289618,35.25149544
vgg19,4,10,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
vgg19,4,100,265829955,29339424,77263469,25779024,222900028,76971747,13.15248671
vgg19,4,20,272962443,29325836,137973292,25403062,169945107,137936911,52.24013809
vgg19,4,30,272809405,29327319,123015399,25578475,185020976,122237822,32.09844469
vgg19,4,40,272673808,29332634,109106068,25639138,198548206,108895424,24.89775261
vgg19,4,50,272633749,29332263,96376833,25767939,211042788,96286654,19.9473543
vgg19,4,60,272585498,29331921,89904550,25665044,217887113,89983665,17.73224096
vgg19,4,70,272541627,29331527,85884354,25341736,221450190,86177915,16.11358522
vgg19,4,80,267814049,29343830,82564553,25630271,221687390,82242729,15.16285922
vgg19,4,90,267828006,29343573,78835263,25677726,224423906,79477465,14.36240097
vgg19,8,10,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
vgg19,8,100,466351130,70048892,123496319,64635789,424139290,123231206,23.36816742
vgg19,8,20,506894024,105072825,132561777,98468998,491101424,132581075,115.9701192
vgg19,8,30,506941693,105078424,132376309,98334011,491370811,132772808,71.467687
vgg19,8,40,375438069,105324752,130506879,97888227,362051379,130497215,42.92320084
vgg19,8,50,388961865,105086551,132431923,98083223,373418833,132488891,35.23299389
vgg19,8,60,388891933,105086392,134452624,98206109,371455954,134449257,31.69603745
vgg19,8,70,446550874,105086324,135084579,97695168,428657157,135061008,29.86599777
vgg19,8,80,434764645,105114820,136991447,98228570,416759541,137088611,27.42689379
vgg19,8,90,468580915,70056539,125250634,64692081,425681644,125462136,25.27451944
